标题,链接
中传毕业生崔睿导演电影作品《消失的她》领跑暑期档,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652623099&idx=1&sn=8b125ae8213585d9687f47d7ba1d55ea&chksm=80530b28b724823eb77a50766dabbb15066230fe398acfb218bef71a070924fb817ee8221df5#rd
中传悦读｜《媒介与社会》,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652623046&idx=1&sn=f61cdbe6ef69bbc1ed54228571035f8d&chksm=80530b15b7248203f6eae93beea0c176adc148776c6a10a20b9784ef69fb1a29656a509fe3d1#rd
全球大学生体育文化公益广告作品征集与展示活动获奖作品公示,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622954&idx=1&sn=5edf971f048bfd63bd2425f77a085391&chksm=80530bb9b72482afc5b714e1f931aba26c7c9380232b73d18a5c583ac4ab898d93168e942801#rd
@准CUCers｜你的研究生录取通知书已发出，请注意查收,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622928&idx=1&sn=1c6ec9f481a6d67bc350f570850af4f5&chksm=80530b83b72482959783829b19f045108a9c5d5dffefe2df2445da7b98e4de5da28fcedd8f88#rd
挑大梁 当主角 建新功｜“持续推进新时代人才工作高质量发展”研讨会暨中国传媒大学青年拔尖人才工作总结大会成功举办,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622863&idx=1&sn=c2cbec5fda50125b87fdf064af742bde&chksm=80530bdcb72482ca7fa08f7616511fedc90f28c9cbac095f850b31fd8fad4d0a6b9ae66445bb#rd
终于找到你！未来的传媒人｜中国传媒大学2023年本科录取通知书发出了！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622862&idx=1&sn=b4acd6ce8da7aef36ffd67e49e7a93d5&chksm=80530bddb72482cb4ff60ea47a6bfb1a6e504f533d9e430cd2a921c9af8c19f2a443a5a0fdf0#rd
探索海洋奇遇，传递环保理念丨中国传媒大学联合出品的动画剧集《毛毛镇之海洋大发现》正式上线,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622861&idx=1&sn=535faaff6073002f9271f20d1c913814&chksm=80530bdeb72482c8f240351de9aff84a26b574afae9581c75fecdb17112f28181a53843c8d49#rd
为党育人 为国育才｜中国传媒大学举办2023年讲述我的育人故事活动,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622702&idx=1&sn=357ba429e8d0825dac304ceb8c6d5c17&chksm=805314bdb7249dab84859f03190cd4a6f2498d156e6acf8ba7ff80a8b664b9f4394340e310f7#rd
“明星辅导员”系列专访｜肖瑶：用热心、耐心、细心、责任心陪伴学生成长,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622652&idx=1&sn=80d1d317e5eb405a5cd0771b8e70b6e1&chksm=805314efb7249df900f6c30a3138223e3a317f99aacb21283b98492d1baf56da3ebbe068e182#rd
廖祥忠书记率队赴海南陵水黎安国际教育创新试验区考察调研,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622641&idx=1&sn=36d2ad6ea1176385b153fc91900aea63&chksm=805314e2b7249df4e083f0ddf0d0f3dadba87ca75277ac662393ab3e149d628dd32b8f39adf3#rd
启幕！故宫-中传共商全面合作,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622605&idx=1&sn=1d217581c76784dc0af375f1511c053c&chksm=805314deb7249dc8b8710eb53b5c3c76b47e6305c48fdfa9e1affad4e913570382125f84e1c6#rd
共商合作·共谋发展｜廖祥忠书记、张树庭校长一行赴新华社拜访傅华社长,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622578&idx=1&sn=447cfba33ce372790fb0ac687d6f19dc&chksm=80531521b7249c37620e160e0018db2a17d3d52b0ed5573cc055014d25b28feeafe34de2f16b#rd
顶岗实习进行时｜中传学子奔赴祖国各地！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622576&idx=1&sn=6b4e01ef7c12195869e1144472a1f098&chksm=80531523b7249c354ed4fdcb87ea797cae2464998eb7001ad4326aee056057de88b9fd12ff30#rd
中传悦读｜《5G时代网络空间变革与治理研究》,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622295&idx=1&sn=3ef1fe4b6379678b9ddd7f8bded731b1&chksm=80531604b7249f128b1a01508c75b10d4cd1e2f0c9dbce7143756fd09eb4e170e5fdc45ee2c5#rd
招生！中传短视频+数字文化暑期工作坊,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622278&idx=1&sn=9a4ba5f07bf6361e0a8eecf03cdedb6b&chksm=80531615b7249f03a940bf374793525e980a60a9ed1bcb099876cdffe076611fdf0d0c518f52#rd
全球大学生体育文化公益广告作品评审会在中国传媒大学顺利举行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622206&idx=1&sn=d16ef18b8c24481cbd9391885dde1f18&chksm=805316adb7249fbbdc3e78c96c99708b4d24b87188326ee64e82ee1899467ffeb3c10ae7201d#rd
他，为何入选全国100名研究生国家奖学金优秀代表,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622206&idx=2&sn=960f5b51359795f61cdbd0e955c2cbe5&chksm=805316adb7249fbb12096ac8c8bf30a21f40859e07e1878ebaef56837c10ae85c03515fdf245#rd
中传动院师生完成国家广电总局“全国广电新媒体联盟”标志设计,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622114&idx=1&sn=1e45fe410456e1c90d9f2386b48d67e5&chksm=805316f1b7249fe7ff4a8210e68aac7b6928ff0fceb08f024e6925b0380c8735d5ceb44fbb38#rd
知行合一 ｜中传电视学院师生共创主题微党课新模式！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652622093&idx=1&sn=2619a213dc52517fda5e7306ab17f4ab&chksm=805316deb7249fc8e7b5854b888e9f535fc7a5ef28b9eb1480ae58b8f6d9fc063155456772c8#rd
“周末”十年再相聚，毕业情长共青春,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652621815&idx=1&sn=157eae368936dfb8d0897ba6a02e5237&chksm=80531024b7249932deeebdd1e60719e7849b5f37aeafc49fbc31a2c1d8e2c1ee19bfce8e1541#rd
中国传媒大学庆祝中国共产党成立102周年表彰大会暨“党建示范创建和质量创优”成果展示会隆重举行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652621683&idx=1&sn=0a60df0095b1ff77961c324e603e3254&chksm=805310a0b72499b6fce648d89425e679d5d739a5beafd7b0f49861f9b222f7cd30d714040b44#rd
崇德·敬业·修身｜中国传媒大学2023届毕业典礼隆重举行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652621636&idx=1&sn=b1aceefd4ed11f3c0ac610009fd9f866&chksm=80531097b7249981c82e3da5fe59fe214d34e17fb46eaa2dcdde4e0039c63b08b37de5a60d00#rd
校长张树庭毕业致辞｜做确定的自己，拥抱巨变的时代,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652620605&idx=1&sn=fa3b0748ded786d11ba844884d19a493&chksm=80531ceeb72495f894edf92e40eb052dc8370f3ec711d731e783d5b1f134ef3947be97074b99#rd
就在明天！中国传媒大学2023届毕业典礼暨学位授予仪式即将开启！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652620578&idx=1&sn=374e7b3cdaff0c16d178ee79fe70df6d&chksm=80531cf1b72495e7ba294f3f8011c09376cc571afc646351e109c253d8035296d87b289f2b79#rd
麦芒｜中传2023届毕业典礼暨学位授予仪式先导片发布！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652620217&idx=1&sn=422a775a1f1dd7322acb1cbc05a2dea4&chksm=80531e6ab724977c97cf63ffe3d9798b2c8e6ae42abcdb79e9710d26e03fdb5922ca68c57053#rd
毕业将至，Ta们想要对你说,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652620168&idx=1&sn=e800eee715ec35f1962ccee5d0c5e2f6&chksm=80531e5bb724974ddcd5e80b053cb742f6b67e9acea107504171bf2430571c1c9ecc03770f47#rd
中传多部作品入选“逐梦向未来——第五届社会主义核心价值观动画短片扶持创作活动”,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652620118&idx=1&sn=920374d677a2fdd87973958e1a2f6fe5&chksm=80531e85b724979315d30ca715265d8fd985c2de1186121bb3ff505a321c1f5a9498f8078d3d#rd
践行文化传承发展 推动文明交流互鉴｜世界遗产文化传播论坛在中国传媒大学召开,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652620041&idx=1&sn=e1f147ca76cb7ff17bb74a3fee05fa2a&chksm=80531edab72497cc964feed7f8fb0f0d562ec58bd7d80d8fbc23b8232aa2e4fede05066cc8d2#rd
祝君安康｜感受文化古韵 共度端午佳节,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652620011&idx=1&sn=deca69a928fae1a3d799840c394fb030&chksm=80531f38b724962ecf7d93ce3c6e234afc62eda56ca37ef56e48b5116c7c8a7803fb2b0ad41a#rd
行走中国｜在北京，3元人民币可以干什么？,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652619747&idx=1&sn=8a9f583f101befe321d07f9cbb9a6178&chksm=80531830b7249126dfffa4227b977ec971ac7b8b26db8f0356b8825548ab3598f1e462263b0e#rd
双向奔赴，未来可期！直击中传2023校园开放日,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652619680&idx=1&sn=8211bdb86619eb05c8390ebbf85d15ec&chksm=80531873b7249165bd1e078587b4a506d90110837ab42955d642540480e6dd3b48544c368f90#rd
以真诚创作礼赞时代｜第二届“给我们的歌”歌曲创作大赛获奖作品展示,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652619680&idx=2&sn=0d51596862f7a1ebf59ee620a407848b&chksm=80531873b7249165a07b84dc4dd559c068c0526edbc675b88b2f0de0089b0aa1aebe91b8a0c5#rd
开展主题调研 建设节水高校｜中国传媒大学节水试点创建工作部署会召开,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652619578&idx=1&sn=a4317eb26dd5b4402e0604ad0db44555&chksm=805318e9b72491ff1a5af08ec06eed529dcd828fec670c7dbbcc8e02015ed43ada3b28d0079b#rd
中国传媒大学第九届“E音之夜”强势来袭！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652619578&idx=2&sn=2fbe75f2fde42e423e733b3d2e6918f1&chksm=805318e9b72491ff9ccae1e0189cf5b4b1db8917a3beb062a290914f2adf50a7f27f815efe3d#rd
研究生创新实践显成效——中国传媒大学首届研究生实践创作展映开幕,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652619548&idx=1&sn=643d78a475bdf4a2ce2985abbaff32b0&chksm=805318cfb72491d994de0a6b62ab19caf3b3cce43db80168380dfae6f1b9f055a84b258e883f#rd
张树庭校长一行赴西藏民族大学调研交流,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652619445&idx=1&sn=f27e474ecd7ee182148f2e387d0108f7&chksm=80531966b7249070eab930eec981fd20b5e28865d1cacab1000350a401743d6b50e19563a440#rd
青年影像人的盛典｜第二十届“半夏的纪念”颁奖晚会在中传举行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652618540&idx=1&sn=34d1b737cc262369e42ad24b7daf1673&chksm=805364ffb724ede97c22c82dcc369e146d60c8558ae754c68a36a1c4cada603c36e8cae885af#rd
用中国动画讲述人与自然和谐共生——国际动画节获奖作品《象群挽歌》师生主创专访,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652618311&idx=1&sn=adc2819dcacf71eb15b4c3ea443b4d96&chksm=80536594b724ec82de08a1df0ea81a62649a071d2cadef32df8eaf412fe56c51f4d20ad7dcdb#rd
“明星辅导员”系列专访｜郭晓歌：心与心的交流 才能收获美好与感动,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652618154&idx=1&sn=34d5692ecb174d89b03a3e24f2891d1e&chksm=80536679b724ef6f94ae460126cc55451c2b559dfae692a22afe2b7d064a66a2c6dc89809513#rd
中国传媒大学2023年“愿你前程似锦”本科招生系列直播来啦,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652618137&idx=1&sn=96fda95c9472b9ce37e60d8d6889485f&chksm=8053664ab724ef5c816bb43d5e4cbd8f166c72a0c4e64837fe887cec272944e7722c693c1a34#rd
欢迎报名中国传媒大学第二届“金核桃”国际青年学者论坛,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652618101&idx=1&sn=5eebb7419ea1dd3679042fd60ae380f2&chksm=805366a6b724efb0c254a63395c7242addcba745288c0053728ada5e51550977a6fadfa23782#rd
就在今晚｜第二十届半夏晚会，一起致敬影像的力量！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652618058&idx=1&sn=848170f7861538a08f01d85695bd0eef&chksm=80536699b724ef8fdb6fe66410d9a700aa07a45940e75394cbab0cd55387d87e1a695e3580db#rd
中传出版社入选2023年度国家社科基金后期资助出版项目推荐申报出版机构名单,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652618058&idx=2&sn=941695e0ff971b17d21e043bbd9e220d&chksm=80536699b724ef8f9e42a28621b6f4ba65ded7ed9bc1a47e2abfd8030768fca99ccfd6db651a#rd
汇聚每一束光！中传召开学生工作队伍主题教育专项调研工作交流互促会,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652617979&idx=1&sn=91cf4824d64dfa34ea5e149129f6e0aa&chksm=80536728b724ee3e68604e9fd9071b9c611b8f3c64189ca8d2f03560161692f062469d932720#rd
六月排期表丨中传2023届本科艺术专业毕业作品展演季等你来！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652617805&idx=1&sn=3bf067cb2b84b0f2907fef0ca283ae0c&chksm=8053679eb724ee8803391bb29a05d96b469f940dbabd014af64ee112df027c850a81ebcbc703#rd
中传悦读｜《视听传播——主流媒体融合、社交、垂直、智能、沉浸、场景的逻辑演进》,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652617196&idx=1&sn=424f25cb0d3c2ccedac2c97fa00fa04c&chksm=8053623fb724eb29b5f4d2ef75aea7053ab8da783182865c1ea910b860665ff697f984c58528#rd
“明星辅导员”系列专访｜路寰：真心 共情 同成长,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652617182&idx=1&sn=1a990e6f64da8054d87243eb58558e23&chksm=8053620db724eb1b8cb60f83d36e665ca05bc93a6d59a97b1c36846b156e1995ba302cb47a55#rd
中国传媒大学2023年度第三批公开招聘公告,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652616914&idx=1&sn=be8e02bc196fb2aa81be9b1b5853bc53&chksm=80536301b724ea17ab9feae685ce1933617e197da1193401250c14a24495aa05e7557159f543#rd
联合！各路大军齐聚中传共商“教育部国际传播联合研究院”建设,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652615822&idx=1&sn=882f03b5f31b642d29f9deb676a62a74&chksm=80536f5db724e64bdfbfb2df763f63accd4e05daeaefe5ea27c26dd868df2e7a65efc40a4766#rd
中国传媒大学与中国新闻社签署战略合作框架协议,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652615605&idx=1&sn=b689fafff1aaa8cd994ec333480165b0&chksm=80536866b724e170414c8ece5c81699ce182fe39a2b62656135df8903f87a78675deba5d3009#rd
踔厉奋发 赓续前行丨中传青马学院举行结业及开班仪式 廖祥忠书记讲授专题党课,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652615417&idx=1&sn=d94655f5915ee33f97eeb81a4e9223cf&chksm=8053692ab724e03c31aeee4f202c9f11119822d6845607a0333edc61fa4297c688b8fccd0bfd#rd
中国传媒大学联合主办的第十届世界大学女校长论坛成功举办,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652615316&idx=1&sn=609c575fa86ad7010254e46aa2eee36b&chksm=80536947b724e05175aaa379d0a8b561400ca36e1981ffb90097de4d737d2909b2499c16369b#rd
奋楫扬帆 青春启航｜中国传媒大学2023年校级合唱比赛圆满落幕,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652615254&idx=1&sn=d156d8d2bbaade8d5d1930214a15dcb8&chksm=80536985b724e093fe0e4cfed2e5865bd95a87dfb13364110b443205c8195dafd7023092dad3#rd
“明星辅导员”系列专访｜李昉：用真诚、热爱呵护青春,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652615251&idx=1&sn=4a8e1bfae69759c12a2786c02b0c5b6b&chksm=80536980b724e096634d949dcce5fdef89cd682bf51ea7c2b8a626a4f089a7b254bfc298288b#rd
中传法语专业师生开展“中国好故事短视频制译传一体化”创新实践,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652615087&idx=1&sn=2a54f1258ee96019f99ddfe098b7aae9&chksm=80536a7cb724e36a77fd26a4d930892737df06874ed951a847809c3587bc9ffcb2710af5f42c#rd
中国传媒大学APP校友专属功能上新啦！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652615044&idx=1&sn=913f32f38500d3830a335c1b9ea84821&chksm=80536a57b724e34158ade3b4ad22bbe358d29936cff4aba25a218e85342e8490e829a7cfc372#rd
期待你的精彩！中传2023毕业典礼开场片素材开始征集,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652610768&idx=1&sn=e01e640572d89c8ed4074694a23b0140&chksm=80537b03b724f215e06dd19f3221af7c7b5f6aaa7cd0714e34ac83f4e9509baad7e8df7274ce#rd
“数字时代西藏故事的国际化传播”论坛圆满举行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652610767&idx=1&sn=7d6d28a3e29a01a0a685c155d27da69a&chksm=80537b1cb724f20ad73fe2f3659878be824cef6637a600cfb76fb5caf7b72739ece68b8294bc#rd
“我始终相信学习的力量”——中国传媒大学第一位盲人硕士研究生董丽娜的故事,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652610437&idx=1&sn=1bc1ee0432c5f21d728e7ebd4300ea8e&chksm=80534456b724cd40d8ca544c0bd0eaebb60099e6c05f6942b3ee9234d99be8c1c6d193613e69#rd
感恩奉献 致敬芳华｜中国传媒大学举办教职工荣休典礼暨关心离退休人员工作委员会成立仪式,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652610365&idx=1&sn=f627f22cb017dae3c5603e5f2c5c282f&chksm=805344eeb724cdf8433e2afb72448230ee73fcfa99f8e1e4e8dcbd2a7a2c284b2b31d17e5e9b#rd
直播预告｜与王雪纯、王冰冰同游中传，畅谈青春理想,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652610349&idx=1&sn=5252f63e60afed82cd687be880518bf4&chksm=805344feb724cde89444dff252d2919f6f30b4ec827ae8a9fabeb49db5a20292950bedac941a#rd
夏日的中传，动起来！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652610139&idx=1&sn=21fa14e80840353243ed47e490339b0a&chksm=80534588b724cc9e4e2e55be26c62ff8a2d5ef067fa66b3a904753caba68b158b52fc6150241#rd
行走中国｜为什么它被称为东方的“白色黄金”！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652608447&idx=1&sn=228941288b6f2fa5afade717472340fc&chksm=80534c6cb724c57a139f2c44f93ac78fbd4dbf5335378455afc8481d98a0a405de206b6e2da6#rd
“明星辅导员”系列专访｜徐艺铭：始于热爱，长于实干，臻于常新,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652608424&idx=1&sn=9a9a0ef4bec2caf1a5c69aaa81288176&chksm=80534c7bb724c56dbe85e5251808a0c3ad1b6fa66631c8958f90084d089f6cea51526d98d62c#rd
中传悦读｜《孔子学院与中国文化国际传播研究》,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652608423&idx=1&sn=eb8ef06567499fe9f1acd6f27c698fcb&chksm=80534c74b724c56278cc6b4c00718fca5eef8b539eea125dc40ae1ac23628745ff7603287d95#rd
新生力 中传造｜中传2023届本科艺术专业毕业作品展演季开幕,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652608368&idx=1&sn=ef1ec0e7fb477ecb5e55593898a73f46&chksm=80534ca3b724c5b5e7f08f98b41631beff7294f1951fe9dfea5864332112edfc593ed87e2833#rd
打造中国纪录电影文化高地！第十三届北影节单元活动——“中国纪录电影放映计划”在京启动,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652608316&idx=1&sn=f8e284102845c7db66091ed71eb8246d&chksm=80534cefb724c5f912575e5763e43ef768008543d5326ca0324cb9feed318b2d906ab0f01678#rd
中国传媒大学科学技术协会成立大会暨第一次代表大会成功召开,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652608278&idx=1&sn=edd4675cf8e747838440f04eb5501ddd&chksm=80534cc5b724c5d311d2ef638c7ae514df1da45ce7b8d0db841cb46336474813981eabcf3cbb#rd
首次表彰！中国传媒大学播音主持艺术学院荣获“国家通用语言文字推广普及先进集体”称号,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652608204&idx=1&sn=4ff2970fe4425ebff4b2ea27f7c55d08&chksm=80534d1fb724c409f8c64c553dfae989a16e18ef00568875388b34e7132bcbfd55202e48e4e5#rd
岁月的故事，等你讲述！中国传媒大学建校70周年校史资料征集全面启动,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652607958&idx=1&sn=3a8cf1ef1996ebf1c363b321dd2a4947&chksm=80534e05b724c71316cf43b4bd0b9bf7520d3978b9fce36f3787f053202a62919c0a51e509a2#rd
点赞！中国传媒大学国际新闻与传播教学团队荣获“北京市工人先锋号”！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652607851&idx=1&sn=95db2fb923f8467502d1823338dc2878&chksm=80534eb8b724c7ae047a7202afa1ad8fc561d76e0d108b28c694740c524263505a3c21194537#rd
燃起来了！广院杯开赛,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652607851&idx=2&sn=ba626f047c9d4d38275fc64de304fc72&chksm=80534eb8b724c7ae4ee057da30047d45a81c5aca817f20418123e37859a136c7c73367eb4e92#rd
中传悦读｜《从媒介工具论到媒介存在论：西方媒介思想的演变》,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652607803&idx=1&sn=d02090070e54a8300efc39ec59448777&chksm=80534ee8b724c7fe30041acadb8063fcf9d7b73521a778ff0a84f308697fd8c9e1213695a538#rd
中国传媒大学入选中央四部委“铸牢中华民族共同体意识研究基地”,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652607535&idx=1&sn=753cc3f454646cc96267ad77037560e1&chksm=80534ffcb724c6eaa4736dd70ecef4c35d10ff0075454030e86abcfc8073d6bd636e84ed2d14#rd
勇担时代使命，谱写青春华章丨党委书记廖祥忠寄语广大中传青年,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652607487&idx=1&sn=bd1a5aec1a8bd6755913e81f22040af7&chksm=8053482cb724c13a73ba0d06489e7a514916a268a3dc6d8fc4526eff79d0a6162b2dac225663#rd
学思践悟 以学促行丨中国传媒大学240余名处级领导干部、专职组织员参加主题教育集中轮训,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652603161&idx=1&sn=a9b58cba8f90836c51736899e1fbb6e8&chksm=805358cab724d1dcb1929d63d93b382b40c06698ba369963f468e09284cdba814c5a6b51e83a#rd
躬耕实践，以劳育德｜“高校种地小队”回归田野，体悟劳动精神,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652603085&idx=1&sn=2ca27f15fdc3d37d14207e65180ac79b&chksm=8053591eb724d008e0e3405e4eee197351f8c4f025a5d224142df106d1d7c463623ac0f2ce88#rd
第十三届北京国际电影节短视频单元荣誉盛典在中国传媒大学举行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652602855&idx=1&sn=a8bc81d0b19933a97ddea6467aabc6b2&chksm=80535a34b724d32212dfb37a99376ff0938ea99175ba44ce7b87f5797b97c34349f05338bb21#rd
中国传媒大学2023年中国画博士班招生简章,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652602853&idx=1&sn=d3493803787206da7c5423ac8ce00e56&chksm=80535a36b724d320224e0dce45ccc66af59fcf2a6ec74893a1a1cdec870664ffc7bb38caa0c0#rd
敢闯会创，青春昂扬丨中传团队圆满完成第八届中国国际“互联网+”大学生创新创业大赛系列活动承制工作,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652602816&idx=1&sn=acbc6ad3b9d4cf77186d785a35071cb2&chksm=80535a13b724d305c355450463d7ade8b2b4dd8f60aabb5e9c3fa359a77047115a849635ffcd#rd
中传学生作品亮相BEA广播电视教育学会2023年会,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652602794&idx=1&sn=9afb413755a78f0f5e697bfba38fdc77&chksm=80535a79b724d36fcec7e8d050d6213c8286837ca888347bad159af0130152a438d46956efbb#rd
中国传媒大学举办2023年春季学期博士候选人资格考试、学术学位硕士研究生基本文献考试,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652602454&idx=1&sn=4df0d62de56bd32fb9e60bed45dcacde&chksm=80535b85b724d29325af997156a8f97375a3017558fbf2c4e48717fc60a529a8f0b14b10fae2#rd
中传悦读｜《融合新闻学》,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652602383&idx=1&sn=4532a04a9944b32c3d6283d4883b98ae&chksm=80535bdcb724d2caa675bddb4a11a4eabab17d4ce13e88595c704538864a1b6a0bbc47a9f55f#rd
迢递书香，你我共赴｜4.23世界读书日系列活动,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652602365&idx=1&sn=92e6a658cc931271f563dd774280a730&chksm=8053a42eb7242d389f497b29b5da7a86234c605a78ac7a6a8b3136ad4a69f1ee97b5979df06e#rd
行走中国｜指尖上的“非遗”！剪纸艺术的魅力有多大？,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652602330&idx=1&sn=7d85ceceaab919e87d262065b0b1cbe7&chksm=8053a409b7242d1f45e496260460d4476ea3414197fd7b08291c9198c7e3464526044e19a795#rd
“心”灯，点亮中传,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652601213&idx=1&sn=0ab89dd013ac71e24f6307af78edf37a&chksm=8053a0aeb72429b8da669944994260573a87343508266993d97aa011ab85593a79768735d30b#rd
